Name,Year
Abhishek Sah,2nd
Amrita Shukla,4th
Anjula Dikshit,3rd
Anjula Singh,2nd
Antara Ray,4th
Anuska Singha Roy,3rd
Arghadeep Jha,4th
Arghadeep Samim Faraj,2nd
Arnab Sharma,4th
Arunanshu Bhakta,1st
Arunanshu Kour,2nd
Avash Hiwrale,4th
Avash Singha Roy,2nd
Ayushman Jha,4th
Ayushman Kumar Gupta,1st
Banani Pailan,3rd
Dhiraj Mazumdar,3rd
Gyan Prakash Basuri,4th
Gyan Prakash Mazumdar,1st
Khushi Choubey,3rd
Kiran Pan,3rd
Kritika Sah,2nd
Moly Kundu,2nd
Moupiya Roy,4th
Navya Acharya,1st
Nayab Choubey,2nd
Omkar Karmakar,3rd
Paramita Imam,2nd
Payel Basuri,4th
Priti Basuri,2nd
Rohan Ray,2nd
Sathi Nath,3rd
Sayantani Goyal,2nd
Senthil Rana,2nd
Souvik Saha,1st
Sowdarjya Saha,3rd
Sumit Kumar De,3rd
Syeda Paul,4th
Tanishk Basuri,4th
Tanishk Rathod,3rd
Uttiyo Sebai,2nd
Viraj Raj,4th
