Name,Year
Aadarsh Choshmitha,2nd
Aadarsh Dhara,1st
Abhishek Chakrabarti,2nd
Aditya Malik,2nd
Aditya Paul,3rd
Akshit Pailan,1st
Akshit Saha,2nd
Amit Ranjan,3rd
Amit Shukla,2nd
Aniruddha Kumar Gupta,2nd
Ankit Choshmitha,3rd
Ankit Singh,2nd
Ankita Mondal,2nd
Ankita Paul,1st
Antara Pailan,4th
Anuja Pathak,1st
Anuska Dey,2nd
Arghadeep Dikshit,4th
Arghyadip Mukherjee,4th
Arghyadip Pan,2nd
Arit Dey,1st
Aritra Biswas,3rd
Aritra Koley,1st
Arkadeep Modak,2nd
Arpan Mitra,1st
Arpan Prashar,4th
Arunanshu Bhakta,1st
Arunanshu Mitra,2nd
Avash Dutta,1st
Avash Somkuwar,2nd
Ayushman Kolay,2nd
Ayushman Ray,2nd
Chayanika Ranjan,2nd
Debashis Kour,3rd
Dhiraj Bhattacharya,2nd
Dhiraj Somkuwar,3rd
Dipanjan Ayesha,2nd
Farhan Karmakar,2nd
Farhan Nain,2nd
Indrayudh Debnath,4th
Ishika Kotak,2nd
Karan Bhattacharya,2nd
Karnika Singha Roy,1st
Khushi Nath,4th
Krishnendu Biswas,1st
Laukik Rana,1st
Mintu Naser,3rd
Mohammad Kumar Gupta,4th
Mohammed Begam,2nd
Monomoy Roy,3rd
Munmun Sadhukhan,2nd
Nandini Yadav,3rd
Navya Nath,4th
Nayab Datta,4th
Nayab Dey,2nd
Nayab Somkuwar,1st
Nazreen Jha,3rd
Padavala Hiwrale,1st
Paramita Goyal,2nd
Paramita Ray,1st
Paramita Shukla,1st
Prem Kour,4th
Prem Mukherjee,2nd
Prem Tiwari,3rd
Prem Washim,3rd
Priti Kumar,2nd
Priti Rana,2nd
Priti Singh,3rd
Priyanka Debnath,1st
Rachana Bandyopadhyay,4th
Raghav Pandey,3rd
Raj Kumar Imam,4th
Raj Kumar Rathod,3rd
Rohit Barnwal,3rd
Sagar Debnath,2nd
Sanjana Rana,2nd
Saptak Naser,3rd
Saptaparna Hiwrale,3rd
Saptaparna Malik,3rd
Sashi Kumar Kotak,3rd
Saswat Kour,3rd
Sathi Biswas,4th
Sayanti Saha,1st
Senthil Mazumdar,2nd
Senthil Ranjan,1st
Shalini Adhikari,4th
Shalini Dutta,3rd
Shalini Nath,3rd
Shilpi Karmakar,1st
Shinjini Barnwal,4th
Shinjini Chakrabarti,1st
Shivam Dikshit,3rd
Shivam Kolay,4th
Shivam Mazumdar,3rd
Shrimant Mitra,3rd
Shrimant Singha Roy,4th
Sneha Jha,2nd
Sonia Rana,1st
Soniya Sarkar,2nd
Soumadip Sarkar,4th
Soumita Pandey,1st
Soumyadeep Shukla,4th
Sowdarjya Hiwrale,4th
Sowdarjya Kundu,2nd
Srija Nain,4th
Sumit Kumar Thakur,4th
Sumit Kumar Tiwari,4th
Supradip Maity,1st
Titas Basuri,4th
Utsav Kolay,3rd
Viraj Pal,1st
Vivek Sett,3rd
