Name,Year
Abhishek Kundu,4th
Abhishek Pandey,1st
Adarsh Malik,3rd
Afroja Karmakar,3rd
Afroja Washim,3rd
Akshit Mandal,2nd
Amit Mazumdar,3rd
Amit Modak,2nd
Amit Mondal,2nd
Amrita Begam,1st
Amrita Sadhukhan,3rd
Anamika Pailan,2nd
Anamika Singha Roy,4th
Anamika Tiwari,3rd
Aniruddha Mitra,4th
Anjistha Imam,2nd
Ankit Jha,4th
Ankit Sharma,1st
Ankita Raj,2nd
Antara Acharya,2nd
Anuja Rana,4th
Arghadeep Basuri,4th
Arghadeep Kotak,2nd
Arit Choubey,4th
Aritra Singha Roy,2nd
Arkadeep Kour,2nd
Arpan Giri,1st
Arunanshu Modak,4th
Aryan Choshmitha,4th
Aryan Ranjan,1st
Baibhav Kumar Pandey,1st
Baibhav Kumar Thakur,3rd
Banani Sarkar,2nd
Dhiraj Das,4th
Dhiraj Sarkar,2nd
Dipanjan Verma,4th
Disha Kundu,2nd
Disha Mondal,4th
Divyanshu Acharya,4th
Divyanshu Mandal,4th
Divyanshu Naser,4th
Divyanshu Pan,4th
Farhan Sarkar,4th
Gyan Prakash Das,2nd
Gyan Prakash Rana,4th
Gyan Prakash Ranjan,4th
Ishika Pailan,2nd
Karnika Kour,1st
Kazi Md Biswas,2nd
Kazi Md Dikshit,3rd
Laukik Naser,4th
Mintu Pal,4th
Mohammad Barnwal,3rd
Mohammed Roy,1st
Monomoy Barnwal,4th
Monomoy Kumar,1st
Monomoy Modak,3rd
Monomoy Somkuwar,4th
Munmun Sagar,2nd
Nandini Jha,1st
Nandini Rana,2nd
Nayab Gupta,2nd
Nayab Khan,1st
Nayab Mandal,2nd
Nazreen Agarwal,1st
Nazreen Debnath,1st
Nazreen Verma,3rd
Omkar Goyal,4th
Omkar Sah,2nd
Paramita Datta,4th
Paramita Mondal,4th
Paramita Shukla,1st
Prem Ranjan,2nd
Prerna Paul,2nd
Prerna Sebai,3rd
Priti Modak,3rd
Priyabrata Yadav,1st
Priyanka Barnwal,1st
Priyanka Sarkar,2nd
Raghav Biswas,2nd
Raghav Sagar,2nd
Raghvendra Imam,3rd
Raghvendra Prashar,1st
Raghvendra Sharma,4th
Raj Kumar Bhakta,2nd
Raj Kumar Chakraborty,1st
Ramkrishna Thakur,1st
Ramkrishna Washim,2nd
Rohit Sagar,3rd
Sagar Paul,4th
Sagnik Bhakta,2nd
Sanchit Acharya,1st
Sanjana Biswas,1st
Sanjana Choshmitha,4th
Sanjana Sharma,3rd
Saptak Sadhukhan,4th
Saptaparna Ghosh,2nd
Saptaparna Karmakar,2nd
Saptaparna Yadav,2nd
Saswat Barnwal,4th
Saswat Bhattacharya,1st
Saswat Mondal,1st
Sathi Mitra,2nd
Satodeep Pal,1st
Satodeep Shukla,2nd
Satodeep Somkuwar,2nd
Sayantani Yadav,4th
Senthil Begam,3rd
Senthil Dhara,2nd
Senthil Imam,2nd
Shahbaz Basuri,1st
Shahbaz Dhara,3rd
Shalini Dutta,3rd
Shinjini Modak,4th
Shivam Mondal,2nd
Shrimant Nath,2nd
Soniya Ranjan,2nd
Sougata Kumar Gupta,1st
Soumadip Hiwrale,3rd
Soumita Ghosh,3rd
Soumya Nain,1st
Soumyadeep Adhikari,3rd
Souvik Saha,3rd
Sowdarjya Adhikari,3rd
Sowdarjya Biswas,2nd
Sowdarjya Pan,4th
Sowdarjya Raj,4th
Subhajit Saha,1st
Subhankar Chakrabarti,1st
Subhankar Sagar,1st
Supradip Naser,2nd
Supradip Prashar,3rd
Suvodeep Bandyopadhyay,2nd
Suvodeep Sah,2nd
Suvodeep Saha,1st
Syeda Mondal,3rd
Tamajit Sah,2nd
Utsav Bandyopadhyay,1st
Utsav Sharma,1st
Uttiyo Agarwal,3rd
Viraj Kumar,3rd
Viraj Kumar Gupta,1st
Vivek Pathak,4th
Vivek Rana,4th
Vivek Shaw,1st
