Name,Year
Abhigayan Somkuwar,3rd
Abhranil Choshmitha,1st
Abhranil Verma,3rd
Akshit Sett,1st
Anamika Choubey,1st
Anjistha Dhara,1st
Antara Rana,2nd
Anuja Bhakta,4th
Anuska Thakur,3rd
Arit Adhikari,4th
Arit Dey,3rd
Arkadeep Bhattacharya,3rd
Arunanshu Paul,1st
Banani Malik,4th
Divyam Malik,3rd
Gyan Prakash Verma,3rd
Ishika Kolay,3rd
Khushi Barnwal,3rd
Khushi Chadokar,1st
Khushi Das,1st
Khushi Singh,4th
Kiran Mondal,3rd
Kiran Paul,2nd
Krishnendu Dey,3rd
Kritika Jha,3rd
Mintu Mishra,2nd
Mohammad Babu,1st
Mohammed Mukherjee,4th
Moly Jha,4th
Nazreen Shukla,4th
Nivriti Kotak,3rd
Nivriti Pailan,2nd
Nivriti Pan,2nd
Paramita Hiwrale,1st
Payal Mazumdar,2nd
Payel Nath,4th
Priti Debnath,2nd
Rachana Basuri,3rd
Rachana Sharma,1st
Raghvendra Sebai,3rd
Sayanti Kumar Gupta,1st
Sayanti Ray,3rd
Shahbaz De,4th
Shinjini Sharma,3rd
Shreya Chakraborty,1st
Shreya Dhara,3rd
Shrimant Somkuwar,2nd
Shrimant Yadav,2nd
Sneha Verma,1st
Somdeepta Jha,1st
Somdeepta Modak,2nd
Soumya Rathod,3rd
Subhankar Dhara,4th
Subhankar Ghosh,4th
Sushmita Karmakar,1st
Syeda Karmakar,2nd
Titas Pailan,2nd
Tiya Mondal,4th
