Name,Year
Afroja Begam,1st
Amit Chakraborty,4th
Amrita Dey,2nd
Anjistha De,1st
Ankana Roy,2nd
Arit Biswas,1st
Aritra Sett,4th
Aryan Babu,1st
Aryan Khan,3rd
Banani Shukla,3rd
Disha Gupta,4th
Divyam Naser,4th
Karnika Rathod,2nd
Khushi Malik,4th
Kiran Mondal,4th
Kiran Yadav,2nd
Mintu Gupta,2nd
Moly Banyal,1st
Nazreen Bandyopadhyay,3rd
Payal Chadokar,2nd
Payel Banyal,3rd
Pradipan Kolay,4th
Prerna Mondal,3rd
Raghav Pan,3rd
Rohan Kundu,1st
Rohan Pal,4th
Rohit Chakraborty,3rd
Rohit Rana,2nd
Saptak Sharma,2nd
Saptak Thakur,4th
Saptaparna Giri,3rd
Saptaparna Gupta,4th
Saptaparna Kundu,1st
Sayanti Bandyopadhyay,4th
Senthil Banyal,4th
Shreya Agarwal,1st
Shrimant Ray,3rd
Soumadip Kotak,2nd
Soumya Sebai,4th
Soumyadeep Pailan,4th
Srija Mishra,3rd
Subhajit Pal,4th
Subhajit Raj,4th
Sumit Kumar Ray,4th
Tirthankar Kumar Gupta,2nd
Tirthankar Ranjan,3rd
Tiya Acharya,4th
Vishal Nain,3rd
