Name,Year
Aadarsh Tiwari,4th
Abhigayan Naser,4th
Abhigayan Rana,2nd
Abhishek Das,1st
Abhishek Dey,4th
Abhishek Pan,2nd
Abhishek Prashar,4th
Abhranil Giri,3rd
Abhranil Paul,3rd
Abhranil Tiwari,4th
Adarsh Karmakar,1st
Adarsh Mishra,1st
Adarsh Pandey,4th
Adarsh Roy,3rd
Aditya Mondal,3rd
Afroja Singha Roy,1st
Afroja Verma,3rd
Akshit Acharya,1st
Akshit Biswas,1st
Akshit Dutta,1st
Akshit Mondal,3rd
Akshit Sebai,2nd
Amit Agarwal,2nd
Amrita Babu,2nd
Amrita Basuri,4th
Amrita Chakrabarti,2nd
Amrita Dikshit,4th
Amrita Giri,2nd
Amrita Ray,4th
Amrita Samim Faraj,1st
Anamika Babu,4th
Anamika Basuri,3rd
Anamika Sagar,1st
Aniruddha Bhattacharya,1st
Aniruddha Chadokar,2nd
Aniruddha Kundu,2nd
Anjistha Chakraborty,4th
Anjistha Malik,2nd
Anjistha Mondal,1st
Anjistha Ranjan,3rd
Anjistha Thakur,2nd
Anjula Adhikari,4th
Anjula Verma,2nd
Ankana Gupta,2nd
Ankana Ray,2nd
Ankana Singha Roy,1st
Ankit Bhakta,3rd
Ankit Datta,4th
Ankit Kour,1st
Ankit Kundu,1st
Ankit Roy,2nd
Ankita Ayesha,2nd
Ankita Ghosh,3rd
Antara Biswas,2nd
Antara Nain,4th
Antara Yadav,1st
Anuja Dhara,1st
Anuja Kumar Gupta,4th
Anuja Mazumdar,3rd
Anuja Raj,1st
Anuja Washim,1st
Anuska Begam,3rd
Anuska Chakrabarti,1st
Anuska Datta,3rd
Anuska Hiwrale,2nd
Anuska Mishra,3rd
Arghyadip Jha,4th
Arghyadip Malik,1st
Arit Acharya,3rd
Arit Babu,3rd
Arit Chakrabarti,1st
Arit Choshmitha,3rd
Arit De,1st
Aritra Imam,3rd
Arnab Begam,4th
Arnab Chakrabarti,1st
Arnab Mandal,4th
Arpan Dutta,3rd
Arpan Kotak,4th
Arpan Shukla,4th
Arpan Tiwari,4th
Arunanshu Adhikari,1st
Arunanshu Kumar,2nd
Arunanshu Sebai,3rd
Arunanshu Sett,3rd
Arunanshu Singha Roy,1st
Arunanshu Tiwari,1st
Aryan Chadokar,2nd
Aryan Mishra,4th
Aryan Pathak,3rd
Aryan Paul,1st
Avash Kotak,3rd
Avash Raj,3rd
Avash Sharma,4th
Ayush Bhattacharya,3rd
Ayush Chakrabarti,1st
Ayush Kumar,1st
Ayush Sharma,3rd
Ayushman Barnwal,3rd
Ayushman Chakrabarti,1st
Ayushman Debnath,4th
Ayushman Pailan,4th
Ayushman Prashar,4th
Baibhav Kumar Acharya,3rd
Baibhav Kumar Agarwal,2nd
Banani Kumar,4th
Banani Pathak,4th
Banani Shaw,4th
Chayanika Mondal,3rd
Chayanika Pandey,4th
Debankur Koley,4th
Debankur Prashar,3rd
Debankur Rathod,1st
Debashis Babu,1st
Dhiraj Choshmitha,1st
Dhiraj Jha,1st
Dhiraj Nain,3rd
Dhiraj Ray,4th
Dipanjan Bandyopadhyay,2nd
Dipanjan Pathak,4th
Disha Koley,2nd
Disha Kundu,2nd
Disha Naser,1st
Disha Nath,3rd
Disha Sah,3rd
Disha Sarkar,1st
Disha Shaw,3rd
Divyam Dhara,1st
Divyam Dutta,2nd
Divyam Karmakar,1st
Divyam Kumar Gupta,3rd
Divyanshu Bhakta,2nd
Divyanshu Choubey,1st
Divyanshu Mukherjee,3rd
