Name,Year
Anamika Pan,1st
Ankana Mazumdar,2nd
Aritra Pathak,2nd
Aritra Singh,3rd
Arnab Bhattacharya,2nd
Arpan Yadav,2nd
Dipanjan Prashar,4th
Disha Ayesha,3rd
Divyanshu Pandey,3rd
Indrayudh Yadav,4th
Laukik Naser,2nd
Monomoy Rana,3rd
Nandini Saha,1st
Navya Ray,1st
Navya Sarkar,3rd
Priyabrata Choshmitha,4th
Raj Kumar Mandal,1st
Saptak Giri,1st
Shalini Singha Roy,3rd
Shinjini Washim,3rd
Sonia Sah,2nd
Soumyadeep Bhakta,2nd
Soumyadeep Prashar,3rd
Subhajit Chadokar,4th
Subhankar Hiwrale,3rd
Tanishk Singha Roy,4th
Tiya Biswas,2nd
Tiya Tiwari,4th
Vivek Raj,4th
Vivek Singha Roy,2nd
